"","Eco.Morpho","IDP","IPS"
"1","Achnanthidium minutissimum","Achnanthidium minutissimum","Achnanthidium minutissimum"
"2","Amphora libyca","Achnanthes exigua var. exigua","Achnanthes exigua var. exigua"
"3","Anomoeoneis sphaerophora","Amphora libyca","Amphora libyca"
"4","Craticula ambigua","Anomoeoneis sphaerophora","Anomoeoneis sphaerophora"
"5","Cyclotella meneghiniana","Caloneis bacillum","Craticula ambigua"
"6","Craticula molestiformis","Craticula halophila","Caloneis bacillum"
"7","Craticula accomoda","Cyclotella meneghiniana","Craticula halophila"
"8","Craticula cuspidata","Craticula accomoda","Cyclotella meneghiniana"
"9","Diadesmis confervacea","Craticula cuspidata","Craticula molestiformis"
"10","Encyonema minutum","Diadesmis confervacea","Caloneis molaris"
"11","Encyonema silesiacum","Diploneis elliptica","Cocconeis placentula var. placentula"
"12","Fallacia monoculata","Denticula kuetzingii var. kuetzingii","Cocconeis placentula var. euglypta"
"13","Frustulia vulgaris","Diploneis ovalis","Craticula accomoda"
"14","Gomphonema affine","Diploneis puella","Craticula cuspidata"
"15","Gomphonema angustatum","Encyonema minutum","Diadesmis confervacea"
"16","Gomphonema angustum","Encyonema silesiacum","Diadesmis contenta"
"17","Gomphonema clavatum","Fragilaria capucina var. capucina","Diploneis elliptica"
"18","Gomphonema gracile","Fallacia pygmaea ssp. pygmaea","Denticula kuetzingii var. kuetzingii"
"19","Gomphonema pseudoaugur","Gomphonema angustatum","Diploneis ovalis"
"20","Gomphonema truncatum","Gomphonema angustum","Diploneis puella"
"21","Gyrosigma acuminatum","Gomphonema gracile","Denticula subtilis"
"22","Hantzschia abundans","Gomphonema parvulum var. parvulum fo. parvulum","Eunotia bilunaris var. bilunaris"
"23","Hantzschia amphioxys","Gomphonema pseudoaugur","Encyonema minutum"
"24","Halamphora montana","Gomphonema pumilum","Eolimna minima"
"25","Halamphora veneta","Gomphonema truncatum","Eunotia pectinalis var. minor"
"26","Lemnicola hungarica","Gyrosigma acuminatum","Eunotia pectinalis var. undulata"
"27","Mayamaea atomus","Hantzschia amphioxys","Eolimna subminuscula"
"28","Melosira varians","Hippodonta hungarica","Encyonema silesiacum"
"29","Nitzschia acicularis","Halamphora veneta","Fragilaria capucina var. capucina"
"30","Nitzschia aurariae","Lemnicola hungarica","Fragilaria capucina var. vaucheriae"
"31","Navicula cari","Luticola mutica","Fallacia insociabilis"
"32","Navicula cincta","Mayamaea atomus","Fallacia monoculata"
"33","Nitzschia communis","Melosira varians","Fallacia omissa"
"34","Nitzschia capitellata","Nitzschia acicularis","Fallacia pygmaea ssp. pygmaea"
"35","Navicula cryptocephala","Nitzschia amphibioides","Fallacia tenera"
"36","Navicula cryptotenella","Nitzschia amphibia fo. amphibia","Frustulia vulgaris"
"37","Navicula cryptotenelloides","Nitzschia brevissima","Gomphonema affine"
"38","Neidium dubium","Nitzschia constricta","Gomphonema angustatum"
"39","Nitzschia fonticola","Navicula cryptocephala","Gomphonema angustum"
"40","Navicula gregaria","Navicula cuspidata","Gomphonema clavatum"
"41","Nitzschia gracilis","Nitzschia dissipata var. dissipata","Gomphonema gracile"
"42","Nitzschia inconspicua","Navicula erifuga","Gomphonema minutum fo. minutum"
"43","Nitzschia perminuta","Nitzschia fonticola","Gyrosigma nodiferum"
"44","Navicula lanceolata","Navicula gregaria","Gomphonema parvulum var. parvulum fo. parvulum"
"45","Nitzschia microcephala","Nitzschia frustulum var. frustulum","Gomphonema pseudoaugur"
"46","Nitzschia paleacea","Nitzschia gracilis","Gomphonema pumilum"
"47","Nitzschia palea","Nitzschia linearis var. linearis","Gyrosigma scalproides"
"48","Nitzschia pumila","Nitzschia microcephala","Gomphonema truncatum"
"49","Nitzschia sigma","Nitzschia nana","Gyrosigma acuminatum"
"50","Navicula tripunctata","Nitzschia paleacea","Hantzschia abundans"
"51","Nitzschia umbonata","Nitzschia palea","Hantzschia amphioxys"
"52","Navicula veneta","Nitzschia sigma","Hippodonta hungarica"
"53","Pinnularia gibba","Navicula tripunctata","Halamphora montana"
"54","Planothidium frequentissimum","Nitzschia umbonata","Halamphora veneta"
"55","Planothidium lanceolatum","Nitzschia vermicularis","Luticola cohnii"
"56","Rhoicosphenia abbreviata","Pinnularia acrospheria var. acrospheria","Lemnicola hungarica"
"57","Surirella angusta","Pinnularia gibba","Luticola mutica"
"58","Surirella ovalis","Pleurosira laevis fo. laevis","Luticola nivalis"
"59","Sellaphora pupula","Pinnularia microstauron var. microstauron","Mayamaea atomus"
"60","Sellaphora seminulum","Planothidium lanceolatum","Mayamaea excelsa"
"61","Ulnaria ulna","Pinnularia viridis var. viridis morphotype 1","Mayamaea atomus var. permitis"
"62",NA,"Rhoicosphenia abbreviata","Melosira varians"
"63",NA,"Rhopalodia brebissonii","Nitzschia acicularis"
"64",NA,"Rhopalodia gibberula","Navicula agrestis"
"65",NA,"Surirella angusta","Nitzschia amphibioides"
"66",NA,"Surirella brebissonii var. brebissonii","Nitzschia amphibia fo. amphibia"
"67",NA,"Surirella ovalis","Navicula atomus var. permitis"
"68",NA,"Sellaphora pupula","Navicula arvensis"
"69",NA,"Stauroneis brasiliensis","Navicula asellus"
"70",NA,"Tryblionella levidensis","Nitzschia aurariae"
"71",NA,"Ulnaria ulna","Nitzschia brevissima"
"72",NA,NA,"Nitzschia bergii"
"73",NA,NA,"Navicula cari"
"74",NA,NA,"Navicula cincta"
"75",NA,NA,"Nitzschia clausii"
"76",NA,NA,"Nitzschia communis"
"77",NA,NA,"Navicula contenta"
"78",NA,NA,"Nitzschia constricta"
"79",NA,NA,"Nitzschia capitellata"
