,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58
Ch1,0,2.58,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,4.36,0,3.91,2.28,3.18,0,0,0,0,7.34,7.66,0,0,5.44,2.33,1.67,2.05,0,0,11.78,0,4.52,0,0,6.07,0,5.58,0,9.33,0,9.98,0,0,0,0,2.83,0,0,0,0
Ch2,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,2.75,0,0,8.77,0,0,0,0,0,0,0,18.65,0,0,23.68,0,0,0,28.05,0,12.59,0,0,0,0,0,0,0,0,0
Ch3,0,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.36,0,0,0,0,0,0,65.9,0,7.7,0,0,0,0,0,0,0,7.43,0,0,0
Ch4,0,0,7.41,0,0,0,0,0,0.73,0.95,0,0,0,0,0,0,0.64,0.63,1.13,0,1.48,0,3.66,1.24,0,0,0,1.25,1.41,0.99,0,1.73,0,0,0,0.94,0,0,7.78,13.89,0,0,21.22,0,19.35,0,0,0,7.65,0,0,0,1.33,0,0.69,1.4,2.47,0
Ch5,0,0,2.67,0,0,2.25,0,0,0.45,0.61,0,0,0,0,0.49,0.32,1.95,0,0,0,2.85,1.2,4.45,0,0,0,0,2.84,4.11,0,2.61,3.75,0,0,0.93,3.58,0,0,13.05,7.63,0,0,18.86,0,13.39,0,0,0,10.32,0,0,0,1.03,0.65,0,0,0,0
Ch6,2.37,0,0,0,0,0,0,0,0.7,0.74,0,0,0,0,1.76,0.85,1.35,0,0,0,1.45,2.92,10.18,0,1.92,0,0,2.54,13.18,0,3.41,1.65,0.99,0,1.17,2.02,0,4.79,0,2.88,0,0,12.43,0,20.34,0,0,0,7.73,0,0,0,1.66,0.95,0,0,0,0
Ch7,0,0,1.76,0,0,0,0,0,0.48,1.18,0,0,0,0,0,0,0,0,0,0,1.47,0,7.84,2.29,0.47,0,2.42,0,6.1,1.81,1.82,0.62,0,1.32,0,0,0,2.66,5.83,6.49,7.69,0,29.25,0,0,0,15.07,0,2.48,0,0,0,0,0.95,0,0,0,0
Sj1,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.91,0,0,0,0,0,0,0,0,0,17.34,0,0,0
Sj2,0,0,18.34,0,0,0,3.21,6.25,0,0,1.9,0,1.83,0,0,0,2,0,0,7.16,0,0,5.49,0,1.11,1.33,0,2.94,7,7.32,0,0,0,0,0,0,2.83,4.87,9.85,10.5,0,0,2.7,0,2.1,1.27,0,0,0,0,0,0,0,0,0,0,0,0
Sj3,0,0,3.22,0,0,0,7.54,0,12.07,9.88,0,0,10.74,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,4.97,0,3.03,0,0,0,0,0,0,0,1.88,7.45,0,0,0,5.69,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0
Sj4,0,0,18.2,0.8,0,0,2.04,0,0,0,0,0,0.98,0,0,1.59,0,0,0,3.13,0,0,0.98,0,0,1.2,0,0,2.89,1.77,0,2.85,8.11,0,0,11.82,0,1.47,0,0,0,0,8.42,0,20.1,0,0,0,13.63,0,0,0,0,0,0,0,0,0
Sj5,0,0,30.42,0,0,0,15.25,0,1.35,0,0,0,0.96,0,0,1.01,0,0,0,2.49,4.47,0,3.87,0,0,0.67,0,1.41,12.61,2.35,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Sj6,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,4.4,8.94,0,0,0,56.05,0,0,0,0,1.69,0,0,0,0,0,0,16.78,2.11,0,0,0,3.6,0,0,1.96,0,0,0,0,0
Sj7,0,0.52,0,0.85,3.49,1.38,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,4.05,0,0,0,1.09,0,0.89,6.5,0,0,0,8.16,0,0,0,0,0,0,0,0,0,2.2,0,9.14,0.8,0,0,5.16,0,0,0,0.31,0,0,0,0,53.12
Li1,0,0,0,0,0,0,0,0,0,6.7,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.34,0,0,25.68,0,0,0,0,0,0,0,0,0,0,0,0
Li2,0,0,0,0,0,0,0,0,0,7.26,0,0,9.24,20.31,0,10.71,0,1.48,0,1.38,0,0,0,0,0,0,0,1.62,1.95,0,0,0.7,0,0,0,0,0,0,0,0,5.01,0,22.93,0,0,17.41,0,0,0,0,0,0,0,0,0,0,0,0
Li3,0,0,0,0,0,0,0,0,0,5.71,0,9.51,7.13,0,16.2,6.81,0,2.66,0,0,0,0,0,0,0,0,0,2.23,2.01,0,0,0,0,0,0,0,0,0,0,0,4.59,6.44,6.26,9.51,0,19.69,0,1.27,0,0,0,0,0,0,0,0,0,0
Li4,0,0,0,0,0,0,0,0,0,4,0,6.28,5.22,0,18.14,9.45,0,0,0,0,0,0,0,0,0,0,0,4.64,0,1.84,0,0,0,1.73,0,0,0,0,0,0,5.15,0,9.12,9.77,0,24.64,0,0,0,0,0,0,0,0,0,0,0,0
Li5,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,56.49,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0
Li6,0,0,0,0,0,0,0,0,0,13.65,0,0,12.84,0,8.37,0,16.8,6.74,0,0,5.03,0,0,0,2.62,1.36,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,5.52,0,6.03,7.45,0,4.17,0,2.6,0,0,0,0,0,1.72,0,0,0,0
Li7,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,81.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac1,0,0,0,0,0,0,0,0,0,0,0,46.52,0,0,0,16.78,0,0,1,0,3.3,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94,0,3.55,0,0,0,0,3.52,0,4.68,0,0,0,0,0,0
Lac2,0,0,0,0,0,0,0,0,0,0,21.79,22.7,0,0,0,14.59,0,0,0,0,0.58,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.28,0,3.73,0,0,0,0,6.12,0,4.9,0,0,1.23,0,0,0
Lac3,0,0,0,0,0,0,0,0,0,0,12.44,0,11.35,10.87,0,6.52,0,0,0,0.54,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16,0,35.34,0,0,0,0,8.5,0,0,0,0,0,0,0,0
Lac6,0,0,0,0,0,0,0,0,0,13.18,0,0,9.2,0,0,9.26,0,3.48,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,0,20.74,22.93,0,0,0,0,0,0,0,0,0,0,0,0
Lac7,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,4.84,12.63,0,2.07,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,2.79,0,6.9,7.21,0,0,8.8,0,28.62,0,0,1.99,2.77,0,0,0,0,0,0,0,0,0
K1,0,0,0,0,4.74,0,0,5.6,0,2.53,0,0,2.27,0,0,0,0,0,5.29,0,0,0,0,0,0,0,9.86,3.41,4.93,0,2.49,0,0,0,0,0,0,0,0,0,0,0,16.4,3.58,8.97,0,0,0,0,0,14.29,0,0,5.6,10.04,0,0,0
K3,0,0,1.58,0,4.25,0,0,3.2,4.68,0,0,0,0,0,0,0,0,1.82,6.68,0,0,0,0,0,3.31,4.89,9.97,3.02,12.54,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,16.5,2.66,0,0,0,0,9.51,0,4.21,0,4.62,3.41,0,0,0
K4,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,3.28,0,3.18,2.35,0,0,0,0,0,0,6.17,9.94,0,0,0,0,0,0,0,0,0,14.6,0,0,0,6.35,0,3.21,26.21,0,0,7.12,0,0,13.49,0,0,0,0,0,0,0,0
K5,0,0,0,0,0,0,0,0.95,0,2.79,0,0,1.61,0,0,0,0,4.15,3.33,0,0,0,0,0,13.96,0,5.19,0,0,0,0,0,0,0,6.08,0,0,0,0,0,4.84,0,0,17.03,2.75,0,0,10.13,0,27.21,0,0,0,0,0,0,0,0
K6,0,0,0,0,2.09,0,0,3.89,0,1.92,0,0,4.36,0,0,0,0,0,2.85,0,0,0,0,0,3.84,5.49,10.67,0,1.7,0,0,0,0,0,1.98,0,0,0,0,0,5.49,0,0,26.54,3.12,0,0,6.63,0,19.43,0,0,0,0,0,0,0,0
K7,0,0,0,0,0,0,0,0,17.53,7.58,0,0,2.59,0,0,0,0,0,29.91,0,0,0,0,0,0,0,8.3,0,6.67,0,11.69,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1,0,0,0,2.4,0,0,0,0,2.1,0,0,0,1.04,0,0,0,0,0,4.46,7.8,4.72,5.04,0,0,0,2.05,10.25,0,2.26,0,3.4,0,0,0,1.42,3.76,5.27,8.43,0,13.09,0,0,6.55,0,2.43,0,0,0,0,0,0,0,0,2.95,0,10.57,0,0
T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0,10.6,0,7.72,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,56.22,0,0,0,0,0,0,0,0,0,0,0,0,0
