Fecha,Pcy_orgml
5/22/2007,6.66E+06
6/5/2007,6.83E+06
6/21/2007,4.70E+06
7/3/2007,4.68E+06
7/17/2007,6.50E+06
7/31/2007,8.11E+06
8/14/2007,8.84E+06
8/28/2007,1.10E+07
9/11/2007,1.01E+07
9/25/2007,6.34E+06
10/11/2007,5.01E+06
10/23/2007,8.78E+06
11/6/2007,9.17E+06
11/20/2007,1.21E+07
12/5/2007,9.85E+06
12/18/2007,5.45E+06
1/2/2008,3.26E+06
1/15/2008,4.33E+06
2/12/2008,4.81E+06
2/26/2008,5.87E+06
3/11/2008,7.37E+06
3/25/2008,4.89E+06
4/8/2008,9.32E+06
4/22/2008,1.36E+07
5/20/2008,1.35E+07
6/3/2008,1.09E+07
6/17/2008,1.22E+07
7/1/2008,1.08E+07
7/16/2008,1.23E+07
7/29/2008,1.21E+07
8/12/2008,1.25E+07
8/27/2008,1.38E+07
9/10/2008,1.70E+07
9/23/2008,1.54E+07
10/7/2008,1.18E+07
10/22/2008,8.56E+06
11/11/2008,1.11E+07
11/24/2008,1.02E+07
12/10/2008,1.07E+07
12/23/2008,1.57E+07
1/7/2009,1.32E+07
1/21/2009,1.07E+07
2/18/2009,1.20E+07
3/3/2009,1.56E+07
3/17/2009,1.41E+07
3/31/2009,1.26E+07
4/13/2009,1.82E+07
4/29/2009,1.52E+07
5/14/2009,9.05E+06
5/28/2009,1.20E+07
6/8/2009,1.32E+07
6/23/2009,6.31E+06
7/7/2009,8.28E+06
7/23/2009,1.31E+07
8/4/2009,1.06E+07
8/19/2009,1.61E+07
9/1/2009,1.54E+07
9/15/2009,1.76E+07
9/30/2009,1.63E+07
10/14/2009,1.53E+07
10/27/2009,1.26E+07
11/9/2009,9.27E+06
11/23/2009,9.86E+06
12/7/2009,1.27E+07
1/5/2010,7.29E+06
1/18/2010,6.04E+06
2/2/2010,1.75E+06
2/16/2010,4.98E+06
3/2/2010,7.61E+06
3/16/2010,8.78E+06
3/30/2010,9.54E+06
4/13/2010,8.46E+06
4/27/2010,1.13E+07
5/11/2010,1.12E+07
5/27/2010,9.42E+06
6/8/2010,5.69E+06
6/23/2010,4.17E+06
7/6/2010,6.10E+06
7/20/2010,5.01E+06
8/3/2010,2.66E+06
8/17/2010,4.23E+06
8/31/2010,6.09E+06
9/15/2010,5.97E+06
9/29/2010,7.64E+06
10/12/2010,5.67E+06
10/26/2010,4.80E+06
11/9/2010,6.68E+06
12/14/2010,6.84E+06
1/5/2011,5.21E+06
1/26/2011,5.25E+06
2/8/2011,5.28E+06
